,year,name,date,Descriptive,Dry,Wet,Drizzle,Rain
69,1958,French Grand Prix,1958-07-06,"Sun, Dry",1.0,0.0,0.0,0.0
70,1958,British Grand Prix,1958-07-19,"Sun, Dry",1.0,0.0,0.0,0.0
71,1958,German Grand Prix,1958-08-03,"Sun, Dry",1.0,0.0,0.0,0.0
72,1958,Portuguese Grand Prix,1958-08-24,"Sun, Dry",1.0,0.0,0.0,0.0
73,1958,Italian Grand Prix,1958-09-07,"Sun, Dry",1.0,0.0,0.0,0.0
74,1958,Moroccan Grand Prix,1958-10-19,"Sun, Dry",1.0,0.0,0.0,0.0
75,1959,Monaco Grand Prix,1959-05-10,"Sun, Dry",1.0,0.0,0.0,0.0
76,1959,Indianapolis 500,1959-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
77,1959,Dutch Grand Prix,1959-05-31,"Sun, Dry",1.0,0.0,0.0,0.0
78,1959,French Grand Prix,1959-07-05,"Sun, Dry",1.0,0.0,0.0,0.0
79,1959,British Grand Prix,1959-07-18,"Sun, Dry",1.0,0.0,0.0,0.0
80,1959,German Grand Prix,1959-08-02,"Sun, Dry",1.0,0.0,0.0,0.0
81,1959,Portuguese Grand Prix,1959-08-23,"Sun, Dry",1.0,0.0,0.0,0.0
82,1959,Italian Grand Prix,1959-09-13,"Sun, Dry",1.0,0.0,0.0,0.0
83,1959,United States Grand Prix,1959-12-12,"Sun, Dry",1.0,0.0,0.0,0.0
84,1960,Argentine Grand Prix,1960-02-07,"Dry, hot",1.0,0.0,0.0,0.0
85,1960,Monaco Grand Prix,1960-05-29,Wet,0.0,1.0,0.0,0.0
86,1960,Indianapolis 500,1960-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
87,1960,Dutch Grand Prix,1960-06-06,"Sun, Dry",1.0,0.0,0.0,0.0
88,1960,Belgian Grand Prix,1960-06-19,"Sun, Dry",1.0,0.0,0.0,0.0
89,1960,French Grand Prix,1960-07-03,"Sun, Dry",1.0,0.0,0.0,0.0
90,1960,British Grand Prix,1960-07-16,"Sun, Dry",1.0,0.0,0.0,0.0
91,1960,Portuguese Grand Prix,1960-08-14,"Sun, Dry",1.0,0.0,0.0,0.0
92,1960,Italian Grand Prix,1960-09-04,"Sun, Dry",1.0,0.0,0.0,0.0
93,1960,United States Grand Prix,1960-11-20,"Sun, Dry",1.0,0.0,0.0,0.0
94,1961,Monaco Grand Prix,1961-05-14,"Sun, Dry",1.0,0.0,0.0,0.0
95,1961,Dutch Grand Prix,1961-05-22,"Sun, Dry",1.0,0.0,0.0,0.0
96,1961,Belgian Grand Prix,1961-06-18,"Sun, Dry",1.0,0.0,0.0,0.0
97,1961,French Grand Prix,1961-07-02,"Sun, Dry",1.0,0.0,0.0,0.0
98,1961,British Grand Prix,1961-07-15,Wet,0.0,1.0,0.0,0.0
99,1961,German Grand Prix,1961-08-06,Wet,0.0,1.0,0.0,0.0
100,1961,Italian Grand Prix,1961-09-10,"Sun, Dry",1.0,0.0,0.0,0.0
101,1961,United States Grand Prix,1961-10-08,"Sun, Dry",1.0,0.0,0.0,0.0
102,1962,Dutch Grand Prix,1962-05-20,"Sun, Dry",1.0,0.0,0.0,0.0
103,1962,Monaco Grand Prix,1962-06-03,"Sun, Dry",1.0,0.0,0.0,0.0
104,1962,Belgian Grand Prix,1962-06-17,"Sun, Dry",1.0,0.0,0.0,0.0
105,1962,French Grand Prix,1962-07-08,"Sun, Dry",1.0,0.0,0.0,0.0
106,1962,British Grand Prix,1962-07-21,"Sun, Dry",1.0,0.0,0.0,0.0
107,1962,German Grand Prix,1962-08-05,Wet,0.0,1.0,0.0,0.0
108,1962,Italian Grand Prix,1962-09-16,"Sun, Dry",1.0,0.0,0.0,0.0
109,1962,United States Grand Prix,1962-10-07,"Sun, Dry",1.0,0.0,0.0,0.0
110,1962,South African Grand Prix,1962-12-29,"Sun, Dry",1.0,0.0,0.0,0.0
111,1963,Monaco Grand Prix,1963-05-26,"Sun, Dry",1.0,0.0,0.0,0.0
112,1963,Belgian Grand Prix,1963-06-09,Wet,0.0,1.0,0.0,0.0
113,1963,Dutch Grand Prix,1963-06-23,"Sun, Dry",1.0,0.0,0.0,0.0
114,1963,French Grand Prix,1963-06-30,Wet,0.0,1.0,0.0,0.0
115,1963,British Grand Prix,1963-07-20,"Sun, Dry",1.0,0.0,0.0,0.0
116,1963,German Grand Prix,1963-08-04,"Sun, Dry",1.0,0.0,0.0,0.0
117,1963,Italian Grand Prix,1963-09-08,"Sun, Dry",1.0,0.0,0.0,0.0
118,1963,United States Grand Prix,1963-10-06,"Sun, Dry",1.0,0.0,0.0,0.0
119,1963,Mexican Grand Prix,1963-10-27,"Sun, Dry",1.0,0.0,0.0,0.0
120,1963,South African Grand Prix,1963-12-28,"Sun, Dry",1.0,0.0,0.0,0.0
121,1964,Monaco Grand Prix,1964-05-10,"Sun, Dry",1.0,0.0,0.0,0.0
122,1964,Dutch Grand Prix,1964-05-24,"Sun, Dry",1.0,0.0,0.0,0.0
123,1964,Belgian Grand Prix,1964-06-14,"Sun, Dry",1.0,0.0,0.0,0.0
124,1964,French Grand Prix,1964-06-28,"Sun, Dry",1.0,0.0,0.0,0.0
125,1964,British Grand Prix,1964-07-11,"Sun, Dry",1.0,0.0,0.0,0.0
126,1964,German Grand Prix,1964-08-02,"Sun, Dry",1.0,0.0,0.0,0.0
127,1964,Austrian Grand Prix,1964-08-23,"Sun, Dry",1.0,0.0,0.0,0.0
128,1964,Italian Grand Prix,1964-09-06,"Sun, Dry",1.0,0.0,0.0,0.0
129,1964,United States Grand Prix,1964-10-04,"Sun, Dry",1.0,0.0,0.0,0.0
130,1964,Mexican Grand Prix,1964-10-25,"Sun, Dry",1.0,0.0,0.0,0.0
131,1965,South African Grand Prix,1965-01-01,"Sun, Dry",1.0,0.0,0.0,0.0
132,1965,Monaco Grand Prix,1965-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
133,1965,Belgian Grand Prix,1965-06-13,Wet,0.0,1.0,0.0,0.0
134,1965,French Grand Prix,1965-06-27,"Sun, Dry",1.0,0.0,0.0,0.0
135,1965,British Grand Prix,1965-07-10,"Sun, Dry",1.0,0.0,0.0,0.0
136,1965,Dutch Grand Prix,1965-07-18,"Sun, Dry",1.0,0.0,0.0,0.0
137,1965,German Grand Prix,1965-08-01,"Sun, Dry",1.0,0.0,0.0,0.0
138,1965,Italian Grand Prix,1965-09-12,"Sun, Dry",1.0,0.0,0.0,0.0
139,1965,United States Grand Prix,1965-10-03,Wet,0.0,1.0,0.0,0.0
140,1965,Mexican Grand Prix,1965-10-24,"Sun, Dry",1.0,0.0,0.0,0.0
141,1966,Monaco Grand Prix,1966-05-22,"Sun, Dry",1.0,0.0,0.0,0.0
142,1966,Belgian Grand Prix,1966-06-12,"Rain, then dry",1.0,0.0,0.0,1.0
143,1966,French Grand Prix,1966-07-03,"Sun, Dry",1.0,0.0,0.0,0.0
144,1966,British Grand Prix,1966-07-16,Wet,0.0,1.0,0.0,0.0
145,1966,Dutch Grand Prix,1966-07-24,"Sun, Dry",1.0,0.0,0.0,0.0
146,1966,German Grand Prix,1966-08-07,Wet,0.0,1.0,0.0,0.0
147,1966,Italian Grand Prix,1966-09-04,"Sun, Dry",1.0,0.0,0.0,0.0
148,1966,United States Grand Prix,1966-10-02,"Sun, Dry",1.0,0.0,0.0,0.0
149,1966,Mexican Grand Prix,1966-10-23,"Sun, Dry",1.0,0.0,0.0,0.0
150,1967,South African Grand Prix,1967-01-02,"Sun, Dry",1.0,0.0,0.0,0.0
151,1967,Monaco Grand Prix,1967-05-07,"Sun, Dry",1.0,0.0,0.0,0.0
152,1967,Dutch Grand Prix,1967-06-04,"Sun, Dry",1.0,0.0,0.0,0.0
153,1967,Belgian Grand Prix,1967-06-18,"Sun, Dry",1.0,0.0,0.0,0.0
154,1967,French Grand Prix,1967-07-02,"Sun, Dry",1.0,0.0,0.0,0.0
155,1967,British Grand Prix,1967-07-15,"Sun, Dry",1.0,0.0,0.0,0.0
156,1967,German Grand Prix,1967-08-06,"Sun, Dry",1.0,0.0,0.0,0.0
157,1967,Canadian Grand Prix,1967-08-27,Wet,0.0,1.0,0.0,0.0
158,1967,Italian Grand Prix,1967-09-10,"Sun, Dry",1.0,0.0,0.0,0.0
159,1967,United States Grand Prix,1967-10-01,"Sun, Dry",1.0,0.0,0.0,0.0
160,1967,Mexican Grand Prix,1967-10-22,"Sun, Dry",1.0,0.0,0.0,0.0
161,1968,South African Grand Prix,1968-01-01,"Sun, Dry",1.0,0.0,0.0,0.0
162,1968,Spanish Grand Prix,1968-05-12,"Sun, Dry",1.0,0.0,0.0,0.0
163,1968,Monaco Grand Prix,1968-05-26,"Sun, Dry",1.0,0.0,0.0,0.0
164,1968,Belgian Grand Prix,1968-06-09,"Sun, Dry",1.0,0.0,0.0,0.0
165,1968,Dutch Grand Prix,1968-06-23,Wet,0.0,1.0,0.0,0.0
166,1968,French Grand Prix,1968-07-07,Wet,0.0,1.0,0.0,0.0
167,1968,British Grand Prix,1968-07-20,"Sun, Dry",1.0,0.0,0.0,0.0
168,1968,German Grand Prix,1968-08-04,Wet,0.0,1.0,0.0,0.0
169,1968,Italian Grand Prix,1968-09-08,"Sun, Dry",1.0,0.0,0.0,0.0
170,1968,Canadian Grand Prix,1968-09-22,"Sun, Dry",1.0,0.0,0.0,0.0
171,1968,United States Grand Prix,1968-10-06,"Sun, Dry",1.0,0.0,0.0,0.0
172,1968,Mexican Grand Prix,1968-11-03,"Sun, Dry",1.0,0.0,0.0,0.0
173,1969,South African Grand Prix,1969-03-01,"Sun, Dry",1.0,0.0,0.0,0.0
174,1969,Spanish Grand Prix,1969-05-04,"Sun, Dry",1.0,0.0,0.0,0.0
175,1969,Monaco Grand Prix,1969-05-18,"Sun, Dry",1.0,0.0,0.0,0.0
176,1969,Dutch Grand Prix,1969-06-21,"Sun, Dry",1.0,0.0,0.0,0.0
177,1969,French Grand Prix,1969-07-06,"Sun, Dry",1.0,0.0,0.0,0.0
178,1969,British Grand Prix,1969-07-19,"Sun, Dry",1.0,0.0,0.0,0.0
179,1969,German Grand Prix,1969-08-03,"Sun, Dry",1.0,0.0,0.0,0.0
180,1969,Italian Grand Prix,1969-09-07,"Sun, Dry",1.0,0.0,0.0,0.0
181,1969,Canadian Grand Prix,1969-09-20,"Sun, Dry",1.0,0.0,0.0,0.0
182,1969,United States Grand Prix,1969-10-05,"Sun, Dry",1.0,0.0,0.0,0.0
183,1969,Mexican Grand Prix,1969-10-19,"Sun, Dry",1.0,0.0,0.0,0.0
184,1970,South African Grand Prix,1970-03-07,"Sun, Dry",1.0,0.0,0.0,0.0
185,1970,Spanish Grand Prix,1970-04-19,"Sun, Dry",1.0,0.0,0.0,0.0
186,1970,Monaco Grand Prix,1970-05-10,"Sun, Dry",1.0,0.0,0.0,0.0
187,1970,Belgian Grand Prix,1970-06-07,"Sun, Dry",1.0,0.0,0.0,0.0
188,1970,Dutch Grand Prix,1970-06-21,"Sun, Dry",1.0,0.0,0.0,0.0
189,1970,French Grand Prix,1970-07-05,"Sun, Dry",1.0,0.0,0.0,0.0
190,1970,British Grand Prix,1970-07-18,"Sun, Dry",1.0,0.0,0.0,0.0
191,1970,German Grand Prix,1970-08-02,"Sun, Dry",1.0,0.0,0.0,0.0
192,1970,Austrian Grand Prix,1970-08-16,"Sun, Dry",1.0,0.0,0.0,0.0
193,1970,Italian Grand Prix,1970-09-06,"Sun, Dry",1.0,0.0,0.0,0.0
194,1970,Canadian Grand Prix,1970-09-20,"Sun, Dry",1.0,0.0,0.0,0.0
195,1970,United States Grand Prix,1970-10-04,"Sun, Dry",1.0,0.0,0.0,0.0
196,1970,Mexican Grand Prix,1970-10-25,"Sun, Dry",1.0,0.0,0.0,0.0
